employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_more_than_80,awards_won,avg_training_score,Age_Group,Experience_Level,Training_Category,KPI_Status,Award_Status,Performance_Category
1822,Sales & Marketing,region_22,Bachelors,m,sourcing,3,29,1.0,3,0,0,51,21-30,Beginner,Average,Not Achieved,No Award,Poor
55325,Analytics,region_22,Bachelors,m,other,1,25,,1,0,0,88,21-30,Beginner,Excellent,Not Achieved,No Award,
41432,Analytics,region_26,Bachelors,m,sourcing,1,26,5.0,4,1,0,90,21-30,Beginner,Excellent,Achieved,No Award,Excellent
52061,Sales & Marketing,region_31,Bachelors,m,other,1,27,2.0,3,0,0,52,21-30,Beginner,Average,Not Achieved,No Award,Poor
39973,Operations,region_13,Bachelors,m,other,1,34,5.0,5,1,0,66,31-40,Beginner,Average,Achieved,No Award,Excellent
42524,Sales & Marketing,region_31,Bachelors,m,sourcing,1,26,4.0,5,0,0,45,21-30,Beginner,Low,Not Achieved,No Award,Good
7935,Technology,region_2,Bachelors,f,other,1,52,5.0,18,0,0,80,51-60,Experienced,Good,Not Achieved,No Award,Excellent
49940,Sales & Marketing,region_7,Bachelors,m,other,1,26,5.0,2,1,0,54,21-30,Beginner,Average,Achieved,No Award,Excellent
10059,Analytics,region_34,Bachelors,m,sourcing,3,27,3.0,2,0,0,83,21-30,Beginner,Good,Not Achieved,No Award,Average
44159,Analytics,region_22,Masters & above,m,other,1,31,,1,1,0,84,31-40,Beginner,Good,Achieved,No Award,
76691,Operations,region_23,Bachelors,m,other,1,33,4.0,8,1,0,59,31-40,Intermediate,Average,Achieved,No Award,Good
3720,Sales & Marketing,region_2,,m,sourcing,1,36,5.0,4,1,0,49,31-40,Beginner,Low,Achieved,No Award,Excellent
5621,Technology,region_2,Masters & above,f,other,1,57,1.0,26,0,0,76,51-60,Expert,Good,Not Achieved,No Award,Poor
24147,Sales & Marketing,region_2,Bachelors,m,other,2,46,1.0,7,0,0,49,41-50,Intermediate,Low,Not Achieved,No Award,Poor
33997,Sales & Marketing,region_19,Bachelors,m,sourcing,1,30,2.0,3,0,0,50,21-30,Beginner,Low,Not Achieved,No Award,Poor
64076,Operations,region_2,Below Secondary,m,other,1,21,,1,1,0,56,21-30,Beginner,Average,Achieved,No Award,
21379,Technology,region_4,Bachelors,m,sourcing,1,26,,1,1,0,85,21-30,Beginner,Good,Achieved,No Award,
23714,Technology,region_7,Masters & above,m,sourcing,2,40,3.0,6,0,0,81,31-40,Intermediate,Good,Not Achieved,No Award,Average
19866,Technology,region_23,Bachelors,m,other,2,32,3.0,6,0,0,79,31-40,Intermediate,Good,Not Achieved,No Award,Average
4529,Finance,region_22,Masters & above,f,sourcing,1,36,3.0,2,1,0,61,31-40,Beginner,Average,Achieved,No Award,Average
64703,Legal,region_2,Bachelors,m,other,1,28,2.0,2,0,0,62,21-30,Beginner,Average,Not Achieved,No Award,Poor
19649,Operations,region_22,Bachelors,f,sourcing,1,29,5.0,4,1,0,56,21-30,Beginner,Average,Achieved,No Award,Excellent
6596,Sales & Marketing,region_2,Masters & above,m,sourcing,1,38,4.0,4,0,0,49,31-40,Beginner,Low,Not Achieved,No Award,Good
7999,Technology,region_4,Bachelors,m,other,1,31,2.0,4,1,0,78,31-40,Beginner,Good,Achieved,No Award,Poor
4762,Sales & Marketing,region_22,Bachelors,m,other,1,29,1.0,4,0,0,46,21-30,Beginner,Low,Not Achieved,No Award,Poor
5387,Technology,region_5,Below Secondary,m,other,1,23,,1,0,0,81,21-30,Beginner,Good,Not Achieved,No Award,
24620,Operations,region_26,Bachelors,m,sourcing,1,41,4.0,6,1,0,60,41-50,Intermediate,Average,Achieved,No Award,Good
57989,Procurement,region_2,Bachelors,m,other,1,29,5.0,2,1,0,74,21-30,Beginner,Good,Achieved,No Award,Excellent
75619,Sales & Marketing,region_28,Bachelors,f,other,1,29,2.0,5,0,0,51,21-30,Beginner,Average,Not Achieved,No Award,Poor
26977,Operations,region_2,,m,sourcing,1,28,3.0,3,0,0,59,21-30,Beginner,Average,Not Achieved,No Award,Average
65975,Analytics,region_29,Bachelors,m,other,2,28,5.0,4,1,0,84,21-30,Beginner,Good,Achieved,No Award,Excellent
51302,Procurement,region_22,Bachelors,f,sourcing,1,31,1.0,6,0,0,64,31-40,Intermediate,Average,Not Achieved,No Award,Poor
63714,Technology,region_4,Masters & above,m,sourcing,1,36,3.0,4,0,0,76,31-40,Beginner,Good,Not Achieved,No Award,Average
70556,Operations,region_2,Bachelors,m,other,3,26,3.0,4,1,0,57,21-30,Beginner,Average,Achieved,No Award,Average
70117,Technology,region_15,Bachelors,m,other,1,29,3.0,2,0,0,84,21-30,Beginner,Good,Not Achieved,No Award,Average
51972,Analytics,region_7,Bachelors,m,sourcing,1,32,4.0,6,0,0,85,31-40,Intermediate,Good,Not Achieved,No Award,Good
60572,Sales & Marketing,region_2,Bachelors,f,other,1,40,1.0,10,0,0,50,31-40,Intermediate,Low,Not Achieved,No Award,Poor
9548,Analytics,region_22,Bachelors,m,sourcing,2,38,4.0,13,0,0,87,31-40,Experienced,Excellent,Not Achieved,No Award,Good
64,Analytics,region_4,Bachelors,m,other,1,42,5.0,11,1,0,80,41-50,Experienced,Good,Achieved,No Award,Excellent
35510,Procurement,region_29,Masters & above,f,other,1,33,3.0,6,0,0,68,31-40,Intermediate,Average,Not Achieved,No Award,Average
10732,Analytics,region_2,Bachelors,m,other,1,31,5.0,5,1,0,92,31-40,Beginner,Excellent,Achieved,No Award,Excellent
9214,Operations,region_3,Masters & above,f,sourcing,1,35,3.0,4,0,0,58,31-40,Beginner,Average,Not Achieved,No Award,Average
10761,HR,region_2,Masters & above,f,sourcing,1,58,5.0,6,1,0,51,51-60,Intermediate,Average,Achieved,No Award,Excellent
32110,Sales & Marketing,region_28,Bachelors,f,sourcing,1,26,2.0,4,0,0,48,21-30,Beginner,Low,Not Achieved,No Award,Poor
50038,HR,region_29,Bachelors,f,sourcing,1,33,3.0,8,1,0,49,31-40,Intermediate,Low,Achieved,No Award,Average
1555,Technology,region_7,Bachelors,m,sourcing,1,30,3.0,3,1,0,80,21-30,Beginner,Good,Achieved,No Award,Average
21200,Technology,region_13,Masters & above,f,sourcing,1,43,3.0,12,0,0,79,41-50,Experienced,Good,Not Achieved,No Award,Average
50380,HR,region_17,Bachelors,f,sourcing,1,31,4.0,7,0,0,48,31-40,Intermediate,Low,Not Achieved,No Award,Good
45009,Analytics,region_29,Bachelors,m,sourcing,1,32,3.0,5,1,0,86,31-40,Beginner,Excellent,Achieved,No Award,Average
65450,Technology,region_2,Masters & above,f,sourcing,2,57,2.0,7,0,0,83,51-60,Intermediate,Good,Not Achieved,No Award,Poor
77333,Operations,region_2,Bachelors,f,other,1,54,4.0,22,0,0,57,51-60,Expert,Average,Not Achieved,No Award,Good
2347,Analytics,region_15,,m,other,2,37,5.0,8,1,0,82,31-40,Intermediate,Good,Achieved,No Award,Excellent
8443,R&D,region_22,Masters & above,m,other,2,27,4.0,5,0,0,86,21-30,Beginner,Excellent,Not Achieved,No Award,Good
39490,Operations,region_22,Masters & above,m,sourcing,1,44,3.0,10,0,0,55,41-50,Intermediate,Average,Not Achieved,No Award,Average
69077,Technology,region_24,Masters & above,f,other,1,37,3.0,10,0,0,81,31-40,Intermediate,Good,Not Achieved,No Award,Average
64652,Procurement,region_7,Masters & above,m,other,1,48,4.0,8,0,0,72,41-50,Intermediate,Good,Not Achieved,No Award,Good
5254,Sales & Marketing,region_25,Bachelors,f,other,1,31,3.0,6,1,0,43,31-40,Intermediate,Low,Achieved,No Award,Average
71131,Finance,region_22,Bachelors,f,other,1,28,5.0,5,1,0,60,21-30,Beginner,Average,Achieved,No Award,Excellent
19620,Procurement,region_13,Masters & above,f,other,1,34,3.0,4,0,0,69,31-40,Beginner,Average,Not Achieved,No Award,Average
41266,Sales & Marketing,region_14,Bachelors,f,sourcing,1,44,1.0,4,0,0,47,41-50,Beginner,Low,Not Achieved,No Award,Poor
11001,Sales & Marketing,region_12,Bachelors,m,sourcing,1,27,5.0,2,0,0,50,21-30,Beginner,Low,Not Achieved,No Award,Excellent
28530,Operations,region_22,Masters & above,m,referred,1,45,3.0,4,1,0,57,41-50,Beginner,Average,Achieved,No Award,Average
72481,Sales & Marketing,region_13,Bachelors,m,sourcing,1,24,4.0,2,0,0,48,21-30,Beginner,Low,Not Achieved,No Award,Good
67417,Analytics,region_29,Bachelors,m,other,1,37,5.0,4,0,0,82,31-40,Beginner,Good,Not Achieved,No Award,Excellent
51840,Analytics,region_22,Masters & above,m,other,1,27,,1,1,0,86,21-30,Beginner,Excellent,Achieved,No Award,
43223,Legal,region_22,Bachelors,m,other,1,33,,1,1,0,59,31-40,Beginner,Average,Achieved,No Award,
40287,Sales & Marketing,region_2,Masters & above,f,other,1,31,1.0,2,1,0,53,31-40,Beginner,Average,Achieved,No Award,Poor
29367,Sales & Marketing,region_7,Masters & above,m,sourcing,3,38,3.0,5,0,0,49,31-40,Beginner,Low,Not Achieved,No Award,Average
36352,Procurement,region_22,Bachelors,m,other,1,32,5.0,2,1,0,72,31-40,Beginner,Good,Achieved,No Award,Excellent
29681,Analytics,region_19,Bachelors,m,other,1,29,3.0,4,0,0,84,21-30,Beginner,Good,Not Achieved,No Award,Average
30233,Sales & Marketing,region_15,Bachelors,m,other,1,37,4.0,9,0,0,50,31-40,Intermediate,Low,Not Achieved,No Award,Good
66601,Operations,region_13,Bachelors,m,other,2,42,3.0,12,0,0,60,41-50,Experienced,Average,Not Achieved,No Award,Average
40276,R&D,region_22,Masters & above,m,sourcing,2,32,5.0,5,1,0,88,31-40,Beginner,Excellent,Achieved,No Award,Excellent
1522,Operations,region_13,Bachelors,m,other,1,45,3.0,3,0,0,60,41-50,Beginner,Average,Not Achieved,No Award,Average
17936,Analytics,region_29,Bachelors,m,other,1,28,3.0,7,0,0,83,21-30,Intermediate,Good,Not Achieved,No Award,Average
26270,Technology,region_15,Masters & above,m,sourcing,1,35,1.0,9,0,0,81,31-40,Intermediate,Good,Not Achieved,No Award,Poor
6837,Sales & Marketing,region_4,Bachelors,m,other,3,28,3.0,5,0,0,48,21-30,Beginner,Low,Not Achieved,No Award,Average
49665,Operations,region_8,Bachelors,f,other,1,37,1.0,3,1,0,59,31-40,Beginner,Average,Achieved,No Award,Poor
1908,Analytics,region_4,Masters & above,m,other,1,38,4.0,7,1,0,88,31-40,Intermediate,Excellent,Achieved,No Award,Good
6474,Procurement,region_2,Bachelors,f,sourcing,1,31,1.0,6,0,0,68,31-40,Intermediate,Average,Not Achieved,No Award,Poor
27495,Operations,region_2,Masters & above,m,other,2,43,3.0,2,0,0,69,41-50,Beginner,Average,Not Achieved,No Award,Average
24324,Operations,region_23,Bachelors,m,other,1,32,3.0,2,1,0,62,31-40,Beginner,Average,Achieved,No Award,Average
14299,Procurement,region_2,Below Secondary,m,sourcing,1,24,4.0,2,1,0,69,21-30,Beginner,Average,Achieved,No Award,Good
56246,Operations,region_2,Masters & above,m,other,1,52,5.0,8,0,0,59,51-60,Intermediate,Average,Not Achieved,No Award,Excellent
3901,Technology,region_13,Masters & above,m,other,1,38,5.0,2,0,0,88,31-40,Beginner,Excellent,Not Achieved,No Award,Excellent
41566,Finance,region_20,Bachelors,m,other,1,35,3.0,4,0,0,59,31-40,Beginner,Average,Not Achieved,No Award,Average
55735,Technology,region_31,Masters & above,m,other,1,39,5.0,4,0,1,81,31-40,Beginner,Good,Not Achieved,Award Won,Excellent
53627,Procurement,region_7,Bachelors,m,other,1,31,3.0,5,1,0,65,31-40,Beginner,Average,Achieved,No Award,Average
62683,Operations,region_27,Bachelors,m,sourcing,1,37,3.0,5,0,0,57,31-40,Beginner,Average,Not Achieved,No Award,Average
42719,Analytics,region_21,,m,sourcing,1,27,,1,0,0,80,21-30,Beginner,Good,Not Achieved,No Award,
44948,Operations,region_30,Masters & above,f,other,1,37,5.0,9,1,0,56,31-40,Intermediate,Average,Achieved,No Award,Excellent
26037,Analytics,region_16,Bachelors,m,other,2,31,3.0,5,1,0,81,31-40,Beginner,Good,Achieved,No Award,Average
30607,Analytics,region_22,Bachelors,m,sourcing,1,28,5.0,4,1,0,85,21-30,Beginner,Good,Achieved,No Award,Excellent
46103,Technology,region_15,Bachelors,m,other,1,26,3.0,3,0,0,77,21-30,Beginner,Good,Not Achieved,No Award,Average
6452,Finance,region_2,Masters & above,m,other,1,49,4.0,7,1,0,62,41-50,Intermediate,Average,Achieved,No Award,Good
47286,Procurement,region_13,Bachelors,f,other,1,34,3.0,9,0,0,68,31-40,Intermediate,Average,Not Achieved,No Award,Average
44117,Finance,region_4,Masters & above,f,other,1,38,3.0,2,0,0,58,31-40,Beginner,Average,Not Achieved,No Award,Average
1367,Sales & Marketing,region_13,Masters & above,m,other,1,52,4.0,4,1,0,51,51-60,Beginner,Average,Achieved,No Award,Good
26228,Sales & Marketing,region_22,Bachelors,m,sourcing,3,31,1.0,7,1,0,50,31-40,Intermediate,Low,Achieved,No Award,Poor
65694,Technology,region_2,Bachelors,f,other,1,24,1.0,2,0,0,82,21-30,Beginner,Good,Not Achieved,No Award,Poor
2721,Analytics,region_22,,f,sourcing,2,26,5.0,3,1,0,86,21-30,Beginner,Excellent,Achieved,No Award,Excellent
63901,HR,region_7,Bachelors,m,other,1,31,2.0,5,0,0,66,31-40,Beginner,Average,Not Achieved,No Award,Poor
4701,Technology,region_26,Bachelors,f,other,1,43,1.0,4,1,0,86,41-50,Beginner,Excellent,Achieved,No Award,Poor
35341,Procurement,region_4,Masters & above,m,other,4,37,3.0,6,0,0,68,31-40,Intermediate,Average,Not Achieved,No Award,Average
3203,Sales & Marketing,region_2,,m,sourcing,1,37,4.0,4,0,0,50,31-40,Beginner,Low,Not Achieved,No Award,Good
10361,HR,region_2,Masters & above,m,other,1,37,5.0,9,1,0,53,31-40,Intermediate,Average,Achieved,No Award,Excellent
6572,Operations,region_29,Bachelors,m,other,1,32,5.0,8,1,0,58,31-40,Intermediate,Average,Achieved,No Award,Excellent
70408,Sales & Marketing,region_26,Bachelors,f,other,1,30,4.0,2,0,0,53,21-30,Beginner,Average,Not Achieved,No Award,Good
11774,Procurement,region_20,Bachelors,f,other,1,30,5.0,4,1,0,71,21-30,Beginner,Good,Achieved,No Award,Excellent
37873,Sales & Marketing,region_7,Bachelors,m,sourcing,1,27,4.0,3,0,0,50,21-30,Beginner,Low,Not Achieved,No Award,Good
3886,Sales & Marketing,region_2,Bachelors,m,other,2,36,4.0,8,0,0,45,31-40,Intermediate,Low,Not Achieved,No Award,Good
23347,Technology,region_9,Bachelors,m,sourcing,4,30,3.0,2,0,0,78,21-30,Beginner,Good,Not Achieved,No Award,Average
3034,Procurement,region_2,Masters & above,m,sourcing,1,49,4.0,19,0,0,73,41-50,Experienced,Good,Not Achieved,No Award,Good
30137,Sales & Marketing,region_10,Masters & above,m,other,1,38,5.0,5,0,0,63,31-40,Beginner,Average,Not Achieved,No Award,Excellent
52431,Sales & Marketing,region_30,Bachelors,m,other,1,29,3.0,6,0,0,51,21-30,Intermediate,Average,Not Achieved,No Award,Average
11061,Technology,region_33,Bachelors,m,other,1,48,3.0,6,1,0,81,41-50,Intermediate,Good,Achieved,No Award,Average
9706,Sales & Marketing,region_21,Bachelors,m,other,1,29,,1,0,0,53,21-30,Beginner,Average,Not Achieved,No Award,
17607,Analytics,region_2,Masters & above,m,other,1,59,4.0,13,0,0,82,51-60,Experienced,Good,Not Achieved,No Award,Good
64986,Operations,region_7,Bachelors,f,other,1,36,5.0,5,1,0,62,31-40,Beginner,Average,Achieved,No Award,Excellent
8082,Finance,region_13,Bachelors,m,other,1,28,3.0,3,0,0,59,21-30,Beginner,Average,Not Achieved,No Award,Average
20982,Procurement,region_22,Bachelors,m,other,2,27,4.0,2,1,0,68,21-30,Beginner,Average,Achieved,No Award,Good
5794,Operations,region_2,Bachelors,m,sourcing,1,25,3.0,2,0,0,62,21-30,Beginner,Average,Not Achieved,No Award,Average
69381,Sales & Marketing,region_26,Bachelors,m,other,1,30,5.0,6,1,0,52,21-30,Intermediate,Average,Achieved,No Award,Excellent
50176,HR,region_27,Below Secondary,m,other,1,23,,1,0,0,51,21-30,Beginner,Average,Not Achieved,No Award,
1612,HR,region_15,Bachelors,f,sourcing,1,28,,1,0,0,50,21-30,Beginner,Low,Not Achieved,No Award,
48923,Sales & Marketing,region_2,Bachelors,m,other,1,38,4.0,5,1,0,48,31-40,Beginner,Low,Achieved,No Award,Good
50366,Sales & Marketing,region_22,Bachelors,m,sourcing,1,30,,1,1,0,45,21-30,Beginner,Low,Achieved,No Award,
48813,HR,region_2,Bachelors,f,other,1,53,4.0,21,0,0,53,51-60,Expert,Average,Not Achieved,No Award,Good
5574,Sales & Marketing,region_8,Masters & above,m,other,1,35,3.0,8,0,0,45,31-40,Intermediate,Low,Not Achieved,No Award,Average
57601,HR,region_2,Bachelors,m,other,1,45,3.0,14,1,0,53,41-50,Experienced,Average,Achieved,No Award,Average
26788,Sales & Marketing,region_26,,m,sourcing,1,40,1.0,8,0,0,51,31-40,Intermediate,Average,Not Achieved,No Award,Poor
564,Operations,region_32,Bachelors,m,other,1,39,3.0,8,0,0,58,31-40,Intermediate,Average,Not Achieved,No Award,Average
3864,Analytics,region_13,Bachelors,m,other,1,46,4.0,6,0,0,82,41-50,Intermediate,Good,Not Achieved,No Award,Good
19598,Technology,region_5,Bachelors,m,sourcing,2,29,3.0,3,0,0,79,21-30,Beginner,Good,Not Achieved,No Award,Average
19513,Analytics,region_6,Bachelors,m,other,1,28,,1,1,0,84,21-30,Beginner,Good,Achieved,No Award,
74965,Technology,region_15,Bachelors,f,other,1,34,4.0,6,1,0,82,31-40,Intermediate,Good,Achieved,No Award,Good
42353,Sales & Marketing,region_9,Bachelors,m,other,1,23,,1,1,0,47,21-30,Beginner,Low,Achieved,No Award,
13367,Sales & Marketing,region_14,Bachelors,m,other,1,38,5.0,3,0,0,51,31-40,Beginner,Average,Not Achieved,No Award,Excellent
38556,HR,region_22,Masters & above,m,sourcing,1,32,3.0,5,0,0,52,31-40,Beginner,Average,Not Achieved,No Award,Average
51344,Operations,region_26,Bachelors,m,other,1,33,3.0,5,1,0,58,31-40,Beginner,Average,Achieved,No Award,Average
28320,Procurement,region_2,Bachelors,f,other,1,39,4.0,9,0,0,70,31-40,Intermediate,Average,Not Achieved,No Award,Good
56104,Procurement,region_4,Masters & above,m,other,4,36,3.0,6,0,0,71,31-40,Intermediate,Good,Not Achieved,No Award,Average
68882,Operations,region_22,Bachelors,m,sourcing,2,33,4.0,4,0,0,59,31-40,Beginner,Average,Not Achieved,No Award,Good
75800,Sales & Marketing,region_2,Bachelors,f,other,1,29,4.0,6,1,0,45,21-30,Intermediate,Low,Achieved,No Award,Good
13223,R&D,region_7,Bachelors,f,other,1,32,3.0,5,0,0,85,31-40,Beginner,Good,Not Achieved,No Award,Average
62740,Sales & Marketing,region_28,Bachelors,f,sourcing,1,26,3.0,2,1,0,46,21-30,Beginner,Low,Achieved,No Award,Average
67233,Analytics,region_32,Bachelors,m,sourcing,1,38,3.0,3,0,0,82,31-40,Beginner,Good,Not Achieved,No Award,Average
49207,Procurement,region_22,Masters & above,m,sourcing,1,42,2.0,15,0,0,70,41-50,Experienced,Average,Not Achieved,No Award,Poor
19053,Operations,region_32,Bachelors,f,sourcing,1,30,5.0,6,0,0,60,21-30,Intermediate,Average,Not Achieved,No Award,Excellent
38096,Analytics,region_22,Bachelors,m,sourcing,2,28,,1,0,0,83,21-30,Beginner,Good,Not Achieved,No Award,
46519,Sales & Marketing,region_14,Bachelors,m,other,1,36,4.0,6,0,0,47,31-40,Intermediate,Low,Not Achieved,No Award,Good
2111,Procurement,region_2,Bachelors,f,other,1,56,5.0,6,0,0,84,51-60,Intermediate,Good,Not Achieved,No Award,Excellent
69413,Sales & Marketing,region_14,Bachelors,f,other,1,30,3.0,5,0,0,51,21-30,Beginner,Average,Not Achieved,No Award,Average
53827,Sales & Marketing,region_15,Bachelors,m,other,2,25,,1,0,0,50,21-30,Beginner,Low,Not Achieved,No Award,
40064,HR,region_7,Bachelors,f,other,1,29,5.0,6,1,0,49,21-30,Intermediate,Low,Achieved,No Award,Excellent
33502,Sales & Marketing,region_7,Bachelors,m,other,1,36,2.0,7,0,0,47,31-40,Intermediate,Low,Not Achieved,No Award,Poor
15182,Technology,region_14,Bachelors,f,other,1,39,3.0,4,0,0,80,31-40,Beginner,Good,Not Achieved,No Award,Average
13593,Analytics,region_26,Bachelors,m,sourcing,1,30,5.0,4,1,0,84,21-30,Beginner,Good,Achieved,No Award,Excellent
15613,R&D,region_2,Bachelors,m,other,2,42,3.0,9,0,0,84,41-50,Intermediate,Good,Not Achieved,No Award,Average
75751,Sales & Marketing,region_26,Bachelors,m,sourcing,2,37,4.0,9,0,0,49,31-40,Intermediate,Low,Not Achieved,No Award,Good
71625,Procurement,region_22,Bachelors,m,sourcing,1,31,2.0,2,1,0,66,31-40,Beginner,Average,Achieved,No Award,Poor
37763,Sales & Marketing,region_28,Masters & above,m,sourcing,1,32,4.0,6,1,0,48,31-40,Intermediate,Low,Achieved,No Award,Good
10812,Operations,region_15,Masters & above,m,other,1,40,5.0,11,1,0,59,31-40,Experienced,Average,Achieved,No Award,Excellent
67357,Finance,region_2,Bachelors,m,sourcing,2,39,5.0,10,1,0,58,31-40,Intermediate,Average,Achieved,No Award,Excellent
49583,Sales & Marketing,region_26,Bachelors,m,other,1,40,4.0,10,1,0,47,31-40,Intermediate,Low,Achieved,No Award,Good
45428,HR,region_22,Bachelors,m,sourcing,1,23,1.0,2,0,0,45,21-30,Beginner,Low,Not Achieved,No Award,Poor
9978,Operations,region_2,Bachelors,m,sourcing,2,28,,1,0,0,60,21-30,Beginner,Average,Not Achieved,No Award,
44266,Sales & Marketing,region_7,Bachelors,m,other,1,37,2.0,4,0,0,51,31-40,Beginner,Average,Not Achieved,No Award,Poor
47252,Finance,region_2,Below Secondary,m,sourcing,1,23,,1,1,0,58,21-30,Beginner,Average,Achieved,No Award,
57884,Operations,region_2,Bachelors,m,sourcing,1,37,3.0,9,0,0,61,31-40,Intermediate,Average,Not Achieved,No Award,Average
24334,Legal,region_22,Bachelors,m,referred,1,29,5.0,3,1,0,54,21-30,Beginner,Average,Achieved,No Award,Excellent
58892,Operations,region_32,Bachelors,f,other,1,38,4.0,10,0,0,55,31-40,Intermediate,Average,Not Achieved,No Award,Good
